Mrt_line_cd,station_num,station_nm
NS,1 ,Jurong East
NS,2,Bukit Batok
NS,3,Bukit Gombak
NS,4 ,Choa Chu Kang
NS,5,Yew Tee
NS,6,Reserved Station
NS,7,Kranji
NS,8,Marsiling
NS,9 ,Woodlands
NS,10,Admiralty
NS,11,Sembawang
NS,12,Canberra
NS,13,Yishun
NS,14,Khatib
NS,15,Yio Chu Kang
NS,16,Ang Mo Kio
NS,17,Bishan
NS,18,Braddell
NS,19,Toa Payoh
NS,20,Novena
NS,21,Newton
NS,22,Orchard
NS,23,Somerset
NS,24,Dhoby Ghaut
NS,25,City Hall
NS,26,Raffles Place
NS,27,Marina Bay
NS,28,Marina South Pier
EW,1,Pasir Ris
EW,2 ,Tampines
EW,3,Simei
EW,4 ,Tanah Merah
EW,5,Bedok
EW,6,Kembangan
EW,7,Eunos
EW,8 ,Paya Lebar
EW,9,Aljunied
EW,10,Kallang
EW,11,Lavender
EW,12,Bugis
EW,13,City Hall
EW,14,Raffles Place
EW,15,Tanjong Pagar
EW,16,Outram Park
EW,17,Tiong Bahru
EW,18,Redhill
EW,19,Queenstown
EW,20,Commonwealth
EW,21,Buona Vista
EW,22,Dover
EW,23,Clementi
EW,24,Jurong East
EW,25,Chinese Garden
EW,26,Lakeside
EW,27,Boon Lay
EW,28,Pioneer
EW,29,Joo Koon
EW,30,Gul Circle
EW,31,Tuas Crescent
EW,32,Tuas West Road
EW,33,Tuas Link
CG,1 ,Expo
CG,2,Changi Airport
NE,1 ,HarbourFront
NE,2,Reserved Station
NE,3 ,Outram Park
NE,4 ,Chinatown
NE,5,Clarke Quay
NE,6 ,Dhoby Ghaut
NE,7 ,Little India
NE,8,Farrer Park
NE,9,Boon Keng
NE,10,Potong Pasir
NE,11,Woodleigh
NE,12,Serangoon
NE,13,Kovan
NE,14,Hougang
NE,15,Buangkok
NE,16,Sengkang
NE,17,Punggol
NE,18,Punggol Coast
CC,1 ,Dhoby Ghaut
CC,2,Bras Basah
CC,3,Esplanade
CC,4 ,Promenade
CC,5,Nicoll Highway
CC,6,Stadium
CC,7,Mountbatten
CC,8,Dakota
CC,9 ,Paya Lebar
CC,10,MacPherson
CC,11,Tai Seng
CC,12,Bartley
CC,13,Serangoon
CC,14,Lorong Chuan
CC,15,Bishan
CC,16,Marymount
CC,17,Caldecott
CC,18,Bukit Brown[a]
CC,19,Botanic Gardens
CC,20,Farrer Road
CC,21,Holland Village
CC,22,Buona Vista
CC,23,one-north
CC,24,Kent Ridge
CC,25,Haw Par Villa
CC,26,Pasir Panjang
CC,27,Labrador Park
CC,28,Telok Blangah
CC,29,HarbourFront
CC,30,Keppel
CC,31,Cantonment
CC,32,Prince Edward
CE,1 ,Bayfront
CE,2 ,Marina Bay
DT,1 ,Bukit Panjang
DT,2,Cashew
DT,3,Hillview
DT,4,Reserved Station
DT,5,Beauty World
DT,6,King Albert Park
DT,7,Sixth Avenue
DT,8,Tan Kah Kee
DT,9 ,Botanic Gardens
DT,10,Stevens
DT,11,Newton
DT,12,Little India
DT,13,Rochor
DT,14,Bugis
DT,15,Promenade
DT,16,Bayfront
DT,17,Downtown
DT,18,Telok Ayer
DT,19,Chinatown
DT,20,Fort Canning
DT,21,Bencoolen
DT,22,Jalan Besar
DT,23,Bendemeer
DT,24,Geylang Bahru
DT,25,Mattar
DT,26,MacPherson
DT,27,Ubi
DT,28,Kaki Bukit
DT,29,Bedok North
DT,30,Bedok Reservoir
DT,31,Tampines West
DT,32,Tampines
DT,33,Tampines East
DT,34,Upper Changi
DT,35,Expo
EW,24,Jurong East
CC,15,Bishan
DT,11,Newton
NE,6,Dhoby Ghaut
EW,13,City Hall
EW,14,Raffles Place
CE,2,Marina Bay
DT,32,Tampines
CC,9,Paya Lebar
DT,14,Bugis
NS,25,City Hall
NS,26,Raffles Place
NE,3,Outram Park
CC,22,Buona Vista
NS,1,Jurong East
DT,35,Expo
CC,29,HarbourFront
EW,16,Outram Park
DT,19,Chinatown
NS,24,Dhoby Ghaut
DT,12,Little India
CC,13,Serangoon
NS,24,Dhoby Ghaut
DT,15,Promenade
EW,8,Paya Lebar
DT,26,MacPherson
NE,12,Serangoon
NS,17,Bishan
DT,9,Botanic Gardens
EW,21,Buona Vista
NE,1,HarbourFront
DT,16,Bayfront
NS,27,Marina Bay
CC,19,Botanic Gardens
NS,21,Newton
NE,7,Little India
EW,12,Bugis
CC,4,Promenade
CE,1,Bayfront
NE,4,Chinatown
CC,10,MacPherson
EW,2,Tampines
CG,1,Expo
